Number of Incoming Links,Number of Nodes
78477,1
3140,1
2977,5
1,62610
3,2822
23,3
11,120
20,16
14,57
7,234
26,16
6,319
22,13
2,10994
15,59
8,451
12,75
4,1161
10,134
18,41
104,1
17,40
0,667
16,68
5,538
19,33
43,5
21,17
51,3
9,385
61,3
13,48
24,16
33,13
25,23
160,1
28,11
46,1
42,4
57,3
114,1
107,1
124,3
56,2
404,1
27,7
79,1
183,1
52,1
35,6
64,5
34,6
40,6
89,2
31,7
36,8
53,1
32,13
49,3
231,1
168,2
55,3
111,1
163,1
38,6
41,4
76,1
201,1
132,1
37,28
134,1
85,2
103,1
157,1
141,1
77,2
126,1
47,3
30,10
511,1
182,1
194,1
66,3
128,1
44,1
178,2
153,1
143,1
117,4
29,7
116,15
119,1
58,1
171,7
175,2
169,39
172,8
170,18
180,2
173,2
257,1
205,1
176,2
174,1
62,1
67,1
60,1
96,1
59,2
54,1
39,3
81,1
65,1
50,1
88,1
69,1
195,1
200,1
198,1
177,1
188,1
147,1
78433,2
2972,1
3141,1
