Number of Outgoing Links,Number of Nodes
83,4
84,3
122,2
123,2
121,1
25,174
30,44
124,1
46,55
62,2
36,31
32,33
44,43
57,2
35,36
42,44
28,52
60,2
27,107
45,45
26,156
269,1
206,2
37,16
64,1
18,44
31,37
24,193
509,16
89,1
63,2
51,16
82,1
3,75691
136,1
33,36
91,2
17,51
34,38
40,17
61,2
23,261
21,103
47,515
22,160
646,1
15,32
16,17
897,2
103,6
2,516
102,5
127,1
97,2
115,14
20,60
19,44
95,4
11,79
49,53
53,14
38,18
5,4
177,2
163,1
4,1
169,1
155,2
174,2
129,12
117,100
151,1
0,8
143,1
14,16
13,7
148,1
101,1
141,10
1372,1
2033,9
48,145
52,8
29,34
43,61
1240,1
582,1
267,1
396,1
154,1
1364,1
693,1
39,25
41,38
50,34
66,3
58,3
508,2
167,1
149,1
264,1
54,5
76,3
59,4
782,1
2034,2
172,1
852,1
1577,1
1914,1
1460,1
1037,1
1610,1
1971,1
56,1
12,2
96,1
79,1
10,1
194,1
65,1
67,2
80,2
55,4
1564,1
529,1
1706,1
436,1
110,1
1648,1
1297,1
94,1
936,1
71,1
86,1
1452,1
558,1
